"[N,i]",no. vertices,no. edges,transitivity,worthy,bipartite,order of symmetry group,order of a vertex stabilizer,order of dart stabilizer,no. of semi-transitive orientations,girth,dimeter,name,id
"C4[ 110, 2 ]",110,220,dart-transitive,TRUE,TRUE,440,4,1,3,4,11,"C_110(1,21)",466
"C4[ 110, 3 ]",110,220,dart-transitive,TRUE,TRUE,440,4,1,1,6,11,"PS(22,5;2)",467
"C4[ 110, 4 ]",110,220,half-arc-transitive,TRUE,TRUE,220,2,1,2,6,5,"PS(10,11;2)",468
"C4[ 110, 5 ]",110,220,half-arc-transitive,TRUE,TRUE,220,2,1,2,6,5,"PS(10,11;3)",469
"C4[ 110, 6 ]",110,220,dart-transitive,TRUE,TRUE,2640,24,6,0,8,5,"MSY(5,22,5,11)",470
"C4[ 110, 7 ]",110,220,semisymmetric,TRUE,TRUE,1320,24,6,0,6,6,"BGCG(MSY(5,11,5,0);K1;1)",471
"C4[ 111, 1 ]",111,222,dart-transitive,TRUE,FALSE,444,4,1,2,4,18,"C_111(1,38)",472
"C4[ 111, 2 ]",111,222,half-arc-transitive,TRUE,FALSE,222,2,1,2,3,7,"PS(3,37;10)",473
"C4[ 112, 1 ]",112,224,dart-transitive,FALSE,TRUE,8070450532247929e3,72057594037927940,18014398509481984,3,4,28,"W(56,2)",474
"C4[ 112, 2 ]",112,224,dart-transitive,TRUE,TRUE,448,4,1,3,4,8,"C_112(1,15)",475
"C4[ 112, 3 ]",112,224,dart-transitive,TRUE,TRUE,448,4,1,3,4,8,"C_112(1,41)",476
"C4[ 112, 4 ]",112,224,dart-transitive,TRUE,TRUE,448,4,1,3,4,14,"{4,4}_[14,4]",477
"C4[ 112, 5 ]",112,224,dart-transitive,TRUE,TRUE,448,4,1,3,4,14,"{4,4}_<16,12>",478
"C4[ 112, 6 ]",112,224,dart-transitive,TRUE,TRUE,15032385536,134217728,33554432,3,4,14,"MPS(4,56;13)",479
"C4[ 112, 7 ]",112,224,dart-transitive,TRUE,TRUE,458752,4096,1024,1,4,7,"PX(14,3)",480
"C4[ 112, 8 ]",112,224,dart-transitive,TRUE,FALSE,1792,16,4,1,4,7,"PX(7,4)",481
"C4[ 112, 9 ]",112,224,semisymmetric,TRUE,TRUE,229376,4096,1024,0,4,7,"PL(Curtain_14(1,7,2,8,9),[4^14,8^7])",482
"C4[ 112, 10 ]",112,224,semisymmetric,FALSE,TRUE,123145302310912,2199023255552,549755813888,0,4,14,"SDD(W(14,2))",483
"C4[ 112, 11 ]",112,224,semisymmetric,FALSE,TRUE,481036337152,8589934592,2147483648,0,4,8,"SDD(R_14(9,8))",484
"C4[ 112, 12 ]",112,224,semisymmetric,FALSE,TRUE,180388626432,3221225472,805306368,0,4,8,"SDD(BC_14(0,1,4,6))",485
"C4[ 113, 1 ]",113,226,dart-transitive,TRUE,FALSE,452,4,1,0,4,7,"C_113(1,15)",486
"C4[ 114, 1 ]",114,228,dart-transitive,FALSE,FALSE,1642913144064757e4,144115188075855870,36028797018963970,1,4,28,"W(57,2)",487
"C4[ 114, 2 ]",114,228,dart-transitive,TRUE,TRUE,456,4,1,3,4,19,"C_114(1,37)",488
"C4[ 114, 3 ]",114,228,half-arc-transitive,TRUE,TRUE,228,2,1,2,6,6,"PS(6,19;7)",489
"C4[ 115, 1 ]",115,230,dart-transitive,TRUE,FALSE,460,4,1,2,4,11,"C_115(1,24)",490
"C4[ 116, 1 ]",116,232,dart-transitive,FALSE,TRUE,33434723633598562e3,288230376151711740,72057594037927940,3,4,29,"W(58,2)",491
"C4[ 116, 2 ]",116,232,dart-transitive,TRUE,TRUE,464,4,1,1,4,10,"{4,4}_10,4",492
"C4[ 116, 3 ]",116,232,dart-transitive,TRUE,FALSE,31138512896,268435456,67108864,1,4,14,"R_58(31,30)",493
"C4[ 116, 4 ]",116,232,semisymmetric,FALSE,TRUE,62277025792,1073741824,268435456,0,4,10,"SDD(C_29(1,12))",494
