"[N,i]",no. vertices,no. edges,transitivity,worthy,bipartite,order of symmetry group,order of a vertex stabilizer,order of dart stabilizer,no. of semi-transitive orientations,girth,dimeter,name,id
"C4[ 484, 9 ]",484,968,semisymmetric,TRUE,TRUE,968,4,1,0,8,10,"BGCG({4,4}_11,11;K1;{16,17,20,23})",6277
"C4[ 484, 10 ]",484,968,semisymmetric,TRUE,TRUE,968,4,1,0,8,8,"SS[484,1]",6278
"C4[ 485, 1 ]",485,970,dart-transitive,TRUE,FALSE,1940,4,1,0,4,21,"C_485(1,22)",6279
"C4[ 485, 2 ]",485,970,dart-transitive,TRUE,FALSE,1940,4,1,2,4,48,"C_485(1,96)",6280
"C4[ 485, 3 ]",485,970,dart-transitive,TRUE,FALSE,1940,4,1,0,4,16,"C_485(1,172)",6281
"C4[ 486, 1 ]",486,972,dart-transitive,FALSE,FALSE,6869501387858358e60,14134776518227075e57,3533694129556769e57,1,4,121,"W(243,2)",6282
"C4[ 486, 2 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,4,81,"DW(162,3)",6283
"C4[ 486, 3 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,4,27,"{4,4}_[27,9]",6284
"C4[ 486, 4 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,6,27,"PS(54,9;2)",6285
"C4[ 486, 5 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,6,9,"PS(18,27;2)",6286
"C4[ 486, 6 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,8,9,"PS(18,27;4)",6287
"C4[ 486, 7 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,8,9,"PS(18,27;5)",6288
"C4[ 486, 8 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,8,11,"PS(18,27;8)",6289
"C4[ 486, 9 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,6,27,"PS(6,81;26)",6290
"C4[ 486, 10 ]",486,972,dart-transitive,TRUE,TRUE,3888,8,2,2,6,27,"CPM(3,2,27,1)",6291
"C4[ 486, 11 ]",486,972,dart-transitive,TRUE,TRUE,3888,8,2,2,6,11,"CPM(9,2,3,1)",6292
"C4[ 486, 12 ]",486,972,half-arc-transitive,TRUE,TRUE,1944,4,2,2,8,8,"CPM(9,2,3,2)",6293
"C4[ 486, 13 ]",486,972,dart-transitive,TRUE,TRUE,7776,16,4,3,6,9,"CPM(3,3,6,1)",6294
"C4[ 486, 14 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,6,27,"AMC(54,3,[0.1:2.2])",6295
"C4[ 486, 15 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,6,9,"AMC(6,9,[1.5:3.1])",6296
"C4[ 486, 16 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,6,13,"AMC(6,9,[1.8:3.7])",6297
"C4[ 486, 17 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,1,8,7,"AMC(6,9,[6.5:7.6])",6298
"C4[ 486, 18 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,8,8,"AMC(6,9,[6.2:7.6])",6299
"C4[ 486, 19 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,4,12,"PL(ProjLR(3,9))",6300
"C4[ 486, 20 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,4,9,"UG(ATD[486,5])",6301
"C4[ 486, 21 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,4,9,"UG(ATD[486,7])",6302
"C4[ 486, 22 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,4,8,"UG(ATD[486,9])",6303
"C4[ 486, 23 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,8,9,"UG(ATD[486,21])",6304
"C4[ 486, 24 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,6,9,"UG(ATD[486,25])",6305
"C4[ 486, 25 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,8,9,"UG(ATD[486,27])",6306
"C4[ 486, 26 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,6,9,"UG(ATD[486,29])",6307
"C4[ 486, 27 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,6,9,"UG(ATD[486,31])",6308
"C4[ 486, 28 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,6,8,"UG(ATD[486,33])",6309
"C4[ 486, 29 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,6,8,"UG(ATD[486,35])",6310
"C4[ 486, 30 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,6,8,"UG(ATD[486,39])",6311
"C4[ 486, 31 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,6,8,"UG(ATD[486,41])",6312
"C4[ 486, 32 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,6,8,"UG(ATD[486,43])",6313
"C4[ 486, 33 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,6,7,"UG(ATD[486,45])",6314
"C4[ 486, 34 ]",486,972,half-arc-transitive,TRUE,TRUE,972,2,1,2,6,8,"UG(ATD[486,47])",6315
"C4[ 486, 35 ]",486,972,dart-transitive,TRUE,FALSE,3888,8,2,1,8,9,"UG(ATD[486,49])",6316
"C4[ 486, 36 ]",486,972,dart-transitive,TRUE,FALSE,3888,8,2,1,4,8,"UG(ATD[486,50])",6317
"C4[ 486, 37 ]",486,972,dart-transitive,TRUE,FALSE,1944,4,1,1,6,9,"UG(ATD[486,51])",6318
"C4[ 486, 38 ]",486,972,dart-transitive,TRUE,TRUE,3888,8,2,2,6,9,"UG(ATD[486,54])",6319
"C4[ 486, 39 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,1,4,10,"UG(ATD[486,57])",6320
"C4[ 486, 40 ]",486,972,dart-transitive,TRUE,TRUE,3888,8,2,2,6,9,"UG(ATD[486,58])",6321
"C4[ 486, 41 ]",486,972,dart-transitive,TRUE,TRUE,3888,8,2,2,6,9,"UG(ATD[486,60])",6322
"C4[ 486, 42 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,1,4,8,"UG(ATD[486,62])",6323
"C4[ 486, 43 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,1,8,8,"UG(ATD[486,63])",6324
"C4[ 486, 44 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,1,8,9,"UG(ATD[486,64])",6325
"C4[ 486, 45 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,1,8,9,"UG(ATD[486,65])",6326
"C4[ 486, 46 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,1,4,11,"UG(ATD[486,66])",6327
"C4[ 486, 47 ]",486,972,dart-transitive,TRUE,TRUE,3888,8,2,2,8,11,"UG(ATD[486,67])",6328
"C4[ 486, 48 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,1,4,8,"UG(ATD[486,69])",6329
"C4[ 486, 49 ]",486,972,dart-transitive,TRUE,TRUE,3888,8,2,2,8,9,"UG(ATD[486,70])",6330
"C4[ 486, 50 ]",486,972,dart-transitive,TRUE,TRUE,3888,8,2,2,6,9,"UG(ATD[486,74])",6331
"C4[ 486, 51 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,1,6,9,"UG(ATD[486,76])",6332
"C4[ 486, 52 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,6,10,"UG(ATD[486,86])",6333
"C4[ 486, 53 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,6,10,"UG(ATD[486,89])",6334
"C4[ 486, 54 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,6,11,"UG(ATD[486,92])",6335
"C4[ 486, 55 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,6,9,"UG(ATD[486,98])",6336
"C4[ 486, 56 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,8,9,"UG(ATD[486,101])",6337
"C4[ 486, 57 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,6,9,"UG(ATD[486,104])",6338
"C4[ 486, 58 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,6,9,"UG(ATD[486,107])",6339
"C4[ 486, 59 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,6,9,"UG(ATD[486,110])",6340
"C4[ 486, 60 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,6,9,"UG(ATD[486,113])",6341
"C4[ 486, 61 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,6,9,"UG(ATD[486,116])",6342
"C4[ 486, 62 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,6,8,"UG(ATD[486,119])",6343
"C4[ 486, 63 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,3,6,8,"UG(ATD[486,125])",6344
"C4[ 486, 64 ]",486,972,dart-transitive,TRUE,TRUE,1944,4,1,1,8,7,"UG(ATD[486,128])",6345
"C4[ 486, 65 ]",486,972,semisymmetric,TRUE,TRUE,1944,8,2,0,8,8,"ATD[27,1]#ATD[27,2]",6346
"C4[ 486, 66 ]",486,972,semisymmetric,TRUE,TRUE,3888,16,4,0,4,9,"XI(Rmap(243,15){9,6|6}_18)",6347
"C4[ 486, 67 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,4,9,"XI(Rmap(243,18){9,6|6}_18)",6348
"C4[ 486, 68 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,4,10,"XI(Rmap(243,22){27,6|6}_54)",6349
"C4[ 486, 69 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,4,10,"XI(Rmap(243,23){27,6|6}_54)",6350
"C4[ 486, 70 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,4,27,"XI(Rmap(243,24){27,6|6}_54)",6351
"C4[ 486, 71 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,4,10,"XI(Rmap(243,31){9,18|18}_18)",6352
"C4[ 486, 72 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,4,9,"XI(Rmap(243,33){9,18|18}_18)",6353
"C4[ 486, 73 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,4,9,"XI(Rmap(243,34){9,18|18}_18)",6354
"C4[ 486, 74 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,4,10,"XI(Rmap(243,70){6,18|6}_9)",6355
"C4[ 486, 75 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,4,9,"XI(Rmap(243,71){6,18|6}_9)",6356
"C4[ 486, 76 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,6,8,"BGCG(CPM(3,3,1,1),C_3,{2,3})",6357
"C4[ 486, 77 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,6,8,"BGCG(UG(ATD[81,12]),C_3,{1,3})",6358
"C4[ 486, 78 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,6,8,"BGCG(UG(ATD[81,14]),C_3,{2,3})",6359
"C4[ 486, 79 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,6,8,"BGCG(AMC(3,9,[1.8:3.7]);K1;{1,8})",6360
"C4[ 486, 80 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,6,8,"BGCG(AMC(3,9,[1.8:3.7]);K1;{2,4})",6361
"C4[ 486, 81 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,6,8,"BGCG(AMC(3,9,[1.8:3.7]);K1;{3,9})",6362
"C4[ 486, 82 ]",486,972,semisymmetric,TRUE,TRUE,972,4,1,0,8,8,"SS[486,1]",6363
"C4[ 488, 1 ]",488,976,dart-transitive,FALSE,TRUE,13795541881789625e60,2826955303645415e58,7067388259113537e57,3,4,122,"W(244,2)",6364
"C4[ 488, 2 ]",488,976,dart-transitive,TRUE,TRUE,1952,4,1,3,4,61,"C_488(1,121)",6365
"C4[ 488, 3 ]",488,976,dart-transitive,TRUE,TRUE,1952,4,1,3,4,61,"C_488(1,123)",6366
"C4[ 488, 4 ]",488,976,dart-transitive,TRUE,TRUE,1952,4,1,1,4,22,"{4,4}_22,2",6367
"C4[ 488, 5 ]",488,976,dart-transitive,TRUE,TRUE,1952,4,1,1,6,12,"PS(8,61;11)",6368
"C4[ 488, 6 ]",488,976,dart-transitive,TRUE,TRUE,1952,4,1,1,6,12,"MPS(4,244;11)",6369
"C4[ 488, 7 ]",488,976,dart-transitive,TRUE,TRUE,12973265238860779e23,2658455991569832e21,664613997892458e21,1,4,61,"R_244(124,123)",6370
"C4[ 488, 8 ]",488,976,dart-transitive,TRUE,FALSE,28131284712407066e4,576460752303423500,144115188075855870,1,4,30,"PX(61,3)",6371
"C4[ 488, 9 ]",488,976,semisymmetric,TRUE,TRUE,976,4,1,0,4,12,"PL(MC3(4,61,1,60,11,0,1),[4^61,122^2])",6372
"C4[ 488, 10 ]",488,976,semisymmetric,TRUE,TRUE,976,4,1,0,4,12,"PL(Br(4,61;11))",6373
"C4[ 488, 11 ]",488,976,semisymmetric,FALSE,TRUE,14957156478851075e41,6129982163463556e39,1532495540865889e39,0,4,61,"SDD(W(61,2))",6374
"C4[ 488, 12 ]",488,976,semisymmetric,FALSE,TRUE,25946530477721558e23,10633823966279327e21,2658455991569832e21,0,4,22,"SDD(C_122(1,11))",6375
"C4[ 489, 1 ]",489,978,dart-transitive,TRUE,FALSE,1956,4,1,2,4,81,"C_489(1,164)",6376
"C4[ 489, 2 ]",489,978,half-arc-transitive,TRUE,FALSE,978,2,1,2,3,16,"PS(3,163;58)",6377
"C4[ 490, 1 ]",490,980,dart-transitive,FALSE,FALSE,27704161975725066e60,565391060729083e59,14134776518227075e57,1,4,122,"W(245,2)",6378
"C4[ 490, 2 ]",490,980,dart-transitive,TRUE,TRUE,1960,4,1,3,4,49,"C_490(1,99)",6379
"C4[ 490, 3 ]",490,980,dart-transitive,TRUE,TRUE,1960,4,1,1,4,21,"{4,4}_21,7",6380
"C4[ 490, 4 ]",490,980,dart-transitive,TRUE,TRUE,1960,4,1,3,4,35,"{4,4}_[35,7]",6381
"C4[ 490, 5 ]",490,980,dart-transitive,TRUE,TRUE,1960,4,1,1,6,49,"PS(98,5;2)",6382
"C4[ 490, 6 ]",490,980,dart-transitive,TRUE,TRUE,3920,8,2,2,6,10,"PS(14,35;6)",6383
"C4[ 492, 1 ]",492,984,dart-transitive,FALSE,TRUE,55634480375741766e60,1130782121458166e59,2826955303645415e58,3,4,123,"W(246,2)",6384
"C4[ 492, 2 ]",492,984,dart-transitive,TRUE,TRUE,1968,4,1,3,4,41,"C_492(1,83)",6385
"C4[ 492, 3 ]",492,984,dart-transitive,TRUE,TRUE,1968,4,1,3,4,82,"C_492(1,163)",6386
"C4[ 492, 4 ]",492,984,dart-transitive,TRUE,TRUE,1968,4,1,3,4,41,"{4,4}_<44,38>",6387
"C4[ 492, 5 ]",492,984,half-arc-transitive,TRUE,TRUE,984,2,1,2,8,8,"PS(12,41;3)",6388
"C4[ 492, 6 ]",492,984,dart-transitive,TRUE,TRUE,1968,4,1,1,6,12,"PS(12,41;9)",6389
"C4[ 492, 7 ]",492,984,half-arc-transitive,TRUE,TRUE,984,2,1,2,4,10,"PS(4,123;32)",6390
"C4[ 492, 8 ]",492,984,dart-transitive,TRUE,FALSE,26159206957047144e23,5316911983139664e21,1329227995784916e21,2,4,61,"R_246(125,124)",6391
"C4[ 492, 9 ]",492,984,dart-transitive,TRUE,FALSE,1968,4,1,2,6,20,"Pr_164(1,121,125,81)",6392
"C4[ 492, 10 ]",492,984,semisymmetric,TRUE,TRUE,984,4,1,0,4,12,"PL(Br(6,41;9))",6393
"C4[ 492, 11 ]",492,984,semisymmetric,FALSE,TRUE,5231841391409429e24,21267647932558654e21,5316911983139664e21,0,4,41,"SDD(C_123(1,40))",6394
"C4[ 493, 1 ]",493,986,dart-transitive,TRUE,FALSE,1972,4,1,2,4,17,"C_493(1,86)",6395
"C4[ 493, 2 ]",493,986,dart-transitive,TRUE,FALSE,1972,4,1,0,4,21,"C_493(1,157)",6396
"C4[ 493, 3 ]",493,986,dart-transitive,TRUE,FALSE,1972,4,1,0,4,17,"C_493(1,191)",6397
"C4[ 494, 1 ]",494,988,dart-transitive,FALSE,FALSE,1117212736000668e62,2261564242916332e59,565391060729083e59,1,4,123,"W(247,2)",6398
"C4[ 494, 2 ]",494,988,dart-transitive,TRUE,TRUE,1976,4,1,3,4,19,"C_494(1,77)",6399
"C4[ 494, 3 ]",494,988,dart-transitive,TRUE,TRUE,1976,4,1,1,6,19,"PS(38,13;5)",6400
"C4[ 495, 1 ]",495,990,dart-transitive,TRUE,FALSE,1980,4,1,2,4,22,"C_495(1,89)",6401
"C4[ 495, 2 ]",495,990,dart-transitive,TRUE,FALSE,1980,4,1,2,4,27,"C_495(1,109)",6402
"C4[ 495, 3 ]",495,990,dart-transitive,TRUE,FALSE,1980,4,1,2,4,49,"C_495(1,199)",6403
"C4[ 495, 4 ]",495,990,dart-transitive,TRUE,FALSE,1980,4,1,2,4,82,"DW(165,3)",6404
"C4[ 495, 5 ]",495,990,dart-transitive,TRUE,FALSE,1980,4,1,2,4,16,"{4,4}_<24,9>",6405
"C4[ 495, 6 ]",495,990,half-arc-transitive,TRUE,FALSE,990,2,1,2,6,22,"PS(45,11;2)",6406
"C4[ 495, 7 ]",495,990,half-arc-transitive,TRUE,FALSE,990,2,1,2,6,22,"PS(45,11;3)",6407
"C4[ 495, 8 ]",495,990,half-arc-transitive,TRUE,FALSE,990,2,1,2,6,8,"PS(15,33;2)",6408
"C4[ 495, 9 ]",495,990,half-arc-transitive,TRUE,FALSE,990,2,1,2,8,7,"PS(15,33;4)",6409
"C4[ 495, 10 ]",495,990,half-arc-transitive,TRUE,FALSE,990,2,1,2,8,7,"PS(5,99;8)",6410
"C4[ 495, 11 ]",495,990,half-arc-transitive,TRUE,FALSE,990,2,1,2,8,8,"PS(5,99;17)",6411
"C4[ 495, 12 ]",495,990,dart-transitive,TRUE,FALSE,3960,8,2,1,6,8,"UG(ATD[495,23])",6412
"C4[ 496, 1 ]",496,992,dart-transitive,FALSE,TRUE,22434717289730013e61,4523128485832664e59,1130782121458166e59,3,4,124,"W(248,2)",6413
"C4[ 496, 2 ]",496,992,dart-transitive,TRUE,TRUE,1984,4,1,3,4,31,"C_496(1,63)",6414
"C4[ 496, 3 ]",496,992,dart-transitive,TRUE,TRUE,1984,4,1,3,4,31,"C_496(1,185)",6415
"C4[ 496, 4 ]",496,992,dart-transitive,TRUE,TRUE,1984,4,1,3,4,62,"{4,4}_[62,4]",6416
"C4[ 496, 5 ]",496,992,dart-transitive,TRUE,TRUE,1984,4,1,3,4,62,"{4,4}_<64,60>",6417
"C4[ 496, 6 ]",496,992,dart-transitive,TRUE,TRUE,5274376687274546e24,10633823966279327e21,2658455991569832e21,3,4,62,"MPS(4,248;61)",6418
"C4[ 496, 7 ]",496,992,dart-transitive,TRUE,TRUE,5718490662849961e5,1152921504606847e3,288230376151711740,1,4,31,"PX(62,3)",6419
"C4[ 496, 8 ]",496,992,dart-transitive,TRUE,FALSE,133143986176,268435456,67108864,1,4,15,"PX(31,4)",6420
"C4[ 496, 9 ]",496,992,semisymmetric,TRUE,TRUE,28592453314249805e4,1152921504606847e3,288230376151711740,0,4,31,"PL(Curtain_62(1,31,2,32,33),[4^62,8^31])",6421
"C4[ 496, 10 ]",496,992,semisymmetric,FALSE,TRUE,12161884612311694e42,49039857307708443e39,12259964326927111e39,0,4,62,"SDD(W(62,2))",6422
"C4[ 496, 11 ]",496,992,semisymmetric,FALSE,TRUE,28316594223286244e32,1141798154164768e31,285449538541192e31,0,4,31,"SDD(R_62(33,32))",6423
"C4[ 497, 1 ]",497,994,dart-transitive,TRUE,FALSE,1988,4,1,2,4,35,"C_497(1,141)",6424
"C4[ 497, 2 ]",497,994,half-arc-transitive,TRUE,FALSE,994,2,1,2,7,8,"PS(7,71;20)",6425
"C4[ 497, 3 ]",497,994,half-arc-transitive,TRUE,FALSE,994,2,1,2,7,7,"PS(7,71;23)",6426
"C4[ 497, 4 ]",497,994,half-arc-transitive,TRUE,FALSE,994,2,1,2,7,7,"PS(7,71;26)",6427
"C4[ 498, 1 ]",498,996,dart-transitive,FALSE,FALSE,4505035971889333e62,9046256971665328e59,2261564242916332e59,1,4,124,"W(249,2)",6428
"C4[ 498, 2 ]",498,996,dart-transitive,TRUE,TRUE,1992,4,1,3,4,83,"C_498(1,167)",6429
"C4[ 500, 1 ]",500,1000,dart-transitive,FALSE,TRUE,9046256971665328e62,18092513943330656e59,4523128485832664e59,3,4,125,"W(250,2)",6430
"C4[ 500, 2 ]",500,1000,dart-transitive,TRUE,TRUE,2000,4,1,1,4,20,"{4,4}_20,10",6431
"C4[ 500, 3 ]",500,1000,dart-transitive,TRUE,TRUE,2000,4,1,1,4,22,"{4,4}_22,4",6432
"C4[ 500, 4 ]",500,1000,dart-transitive,TRUE,TRUE,2000,4,1,3,4,25,"{4,4}_[25,10]",6433
"C4[ 500, 5 ]",500,1000,dart-transitive,TRUE,TRUE,2000,4,1,3,4,25,"{4,4}_<30,20>",6434
"C4[ 500, 6 ]",500,1000,dart-transitive,TRUE,TRUE,2000,4,1,3,4,50,"{4,4}_[50,5]",6435
"C4[ 500, 7 ]",500,1000,dart-transitive,TRUE,TRUE,2000,4,1,1,6,50,"PS(100,5;2)",6436
"C4[ 500, 8 ]",500,1000,half-arc-transitive,TRUE,TRUE,1000,2,1,2,6,10,"PS(20,25;2)",6437
"C4[ 500, 9 ]",500,1000,half-arc-transitive,TRUE,TRUE,1000,2,1,2,8,10,"PS(20,25;3)",6438
"C4[ 500, 10 ]",500,1000,half-arc-transitive,TRUE,TRUE,1000,2,1,2,8,10,"PS(20,25;4)",6439
"C4[ 500, 11 ]",500,1000,dart-transitive,TRUE,TRUE,2000,4,1,1,6,12,"PS(20,25;7)",6440
"C4[ 500, 12 ]",500,1000,half-arc-transitive,TRUE,TRUE,1000,2,1,2,8,10,"PS(20,25;9)",6441
"C4[ 500, 13 ]",500,1000,half-arc-transitive,TRUE,TRUE,1000,2,1,2,8,10,"PS(5,100;19)",6442
"C4[ 500, 14 ]",500,1000,half-arc-transitive,TRUE,TRUE,1000,2,1,2,8,10,"PS(5,100;39)",6443
"C4[ 500, 15 ]",500,1000,half-arc-transitive,TRUE,TRUE,1000,2,1,2,8,10,"PS(10,100;9)",6444
"C4[ 500, 16 ]",500,1000,half-arc-transitive,TRUE,TRUE,1000,2,1,2,8,10,"PS(10,100;29)",6445
"C4[ 500, 17 ]",500,1000,dart-transitive,TRUE,FALSE,10633823966279327e24,21267647932558654e21,5316911983139664e21,1,4,62,"R_250(127,126)",6446
"C4[ 500, 18 ]",500,1000,half-arc-transitive,TRUE,TRUE,1000,2,1,2,4,10,"MSZ(20,25,9,7)",6447
"C4[ 500, 19 ]",500,1000,half-arc-transitive,TRUE,TRUE,1000,2,1,2,4,25,"MSZ(100,5,49,2)",6448
"C4[ 500, 20 ]",500,1000,dart-transitive,TRUE,TRUE,4000,8,2,3,6,10,"CPM(5,2,10,1)",6449
"C4[ 500, 21 ]",500,1000,dart-transitive,TRUE,TRUE,2000,4,1,3,8,10,"AMC(20,5,[0.4:1.2])",6450
"C4[ 500, 22 ]",500,1000,dart-transitive,TRUE,TRUE,4000,8,2,1,8,10,"AMC(20,5,[1.2:1.4])",6451
"C4[ 500, 23 ]",500,1000,dart-transitive,TRUE,TRUE,2000,4,1,1,6,10,"AMC(20,5,[0.2:3.1])",6452
"C4[ 500, 24 ]",500,1000,semisymmetric,TRUE,TRUE,1000,4,1,0,4,50,"PL(Br(50,5;2))",6453
"C4[ 500, 25 ]",500,1000,semisymmetric,TRUE,TRUE,1000,4,1,0,4,12,"PL(Br(10,25;7))",6454
"C4[ 500, 26 ]",500,1000,semisymmetric,TRUE,TRUE,2000,8,2,0,4,10,"PL(RC(5,5),[5^50,10^25])",6455
"C4[ 500, 27 ]",500,1000,half-arc-transitive,TRUE,TRUE,1000,2,1,2,8,10,"UG(ATD[500,1])",6456
"C4[ 500, 28 ]",500,1000,half-arc-transitive,TRUE,TRUE,1000,2,1,2,4,10,"UG(ATD[500,15])",6457
"C4[ 500, 29 ]",500,1000,dart-transitive,TRUE,TRUE,2000,4,1,3,4,10,"UG(ATD[500,25])",6458
"C4[ 500, 30 ]",500,1000,dart-transitive,TRUE,TRUE,4000,8,2,3,8,10,"UG(ATD[500,32])",6459
"C4[ 500, 31 ]",500,1000,dart-transitive,TRUE,TRUE,2000,4,1,3,4,10,"UG(ATD[500,35])",6460
"C4[ 500, 32 ]",500,1000,dart-transitive,TRUE,TRUE,2000,4,1,3,8,10,"UG(ATD[500,38])",6461
"C4[ 500, 33 ]",500,1000,dart-transitive,TRUE,TRUE,4000,8,2,1,8,8,"UG(ATD[500,41])",6462
"C4[ 500, 34 ]",500,1000,dart-transitive,TRUE,TRUE,2000,4,1,1,8,10,"UG(ATD[500,56])",6463
"C4[ 500, 35 ]",500,1000,semisymmetric,TRUE,TRUE,1000,4,1,0,4,10,"XI(Rmap(250,3){4,20|5}_10)",6464
"C4[ 500, 36 ]",500,1000,semisymmetric,FALSE,TRUE,4253529586511731e25,17014118346046923e22,4253529586511731e22,0,4,12,"SDD(AMC(5,5,[0.4:1.2]))",6465
"C4[ 500, 37 ]",500,1000,semisymmetric,TRUE,TRUE,1000,4,1,0,4,10,"XI(Rmap(250,8){10,10|10}_10)",6466
"C4[ 500, 38 ]",500,1000,semisymmetric,FALSE,TRUE,21267647932558654e24,8507059173023462e22,21267647932558654e21,0,4,25,"SDD({4,4}_<15,10>)",6467
"C4[ 500, 39 ]",500,1000,semisymmetric,TRUE,TRUE,1000,4,1,0,4,10,"XI(Rmap(250,27){10,20|10}_20)",6468
"C4[ 500, 40 ]",500,1000,semisymmetric,FALSE,TRUE,21267647932558654e24,8507059173023462e22,21267647932558654e21,0,4,22,"SDD(C_125(1,57))",6469
"C4[ 500, 41 ]",500,1000,semisymmetric,FALSE,TRUE,21267647932558654e24,8507059173023462e22,21267647932558654e21,0,4,20,"SDD({4,4}_10,5)",6470
"C4[ 500, 42 ]",500,1000,semisymmetric,TRUE,TRUE,2000,8,2,0,6,10,"BGCG(CPM(5,2,5,1);K1;{5,6})",6471
"C4[ 500, 43 ]",500,1000,semisymmetric,TRUE,TRUE,1000,4,1,0,8,10,"BGCG(AMC(10,5,[0.4:1.2]);K1;{2,6,9,10})",6472
"C4[ 500, 44 ]",500,1000,semisymmetric,TRUE,TRUE,1000,4,1,0,8,8,"BGCG(AMC(10,5,[0.4:1.2]);K1;{12,15})",6473
"C4[ 500, 45 ]",500,1000,semisymmetric,TRUE,TRUE,2000,8,2,0,6,8,"BGCG(AMC(10,5,[0.4:1.2]);K1;{16,19})",6474
"C4[ 500, 46 ]",500,1000,semisymmetric,TRUE,TRUE,1000,4,1,0,4,10,"BGCG(AMC(10,5,[0.2:3.1]);K1;1)",6475
"C4[ 500, 47 ]",500,1000,semisymmetric,TRUE,TRUE,1000,4,1,0,8,10,"BGCG(AMC(10,5,[0.2:3.1]);K1;2)",6476
"C4[ 500, 48 ]",500,1000,semisymmetric,TRUE,TRUE,1000,4,1,0,6,10,"BGCG(AMC(10,5,[0.2:3.1]);K1;3)",6477
"C4[ 500, 49 ]",500,1000,semisymmetric,TRUE,TRUE,1000,4,1,0,6,10,"BGCG(AMC(10,5,[0.2:3.1]);K1;4)",6478
"C4[ 500, 50 ]",500,1000,semisymmetric,TRUE,TRUE,1000,4,1,0,8,10,"BGCG(AMC(10,5,[0.2:3.1]);K1;5)",6479
